"Time (s)","Acceleration (m/s²)"
4.030378988E1,6.710281859E-2
4.035374287E1,6.946691275E-2
4.040369688E1,6.530586963E-2
4.045363087E1,5.657175205E-2
4.050358188E1,6.091856623E-2
4.055353188E1,5.879988017E-2
4.060347487E1,6.251501462E-2
4.065342287E1,5.314715387E-2
4.070333787E1,5.614231426E-2
4.075331187E1,7.000526680E-2
4.080325987E1,6.377370910E-2
4.085320387E1,6.574648017E-2
4.090314687E1,5.802335714E-2
4.095309187E1,6.449090299E-2
4.100303887E1,7.089926314E-2
4.105296587E1,6.559934230E-2
4.110291687E1,8.041301648E-2
4.115287487E1,5.993248767E-2
4.120281587E1,7.122708271E-2
4.125275788E1,4.667997531E-2
4.130270687E1,6.472501911E-2
4.135264787E1,8.432972089E-2
4.140259888E1,8.216980146E-2
4.145251788E1,3.993457068E-2
4.150248987E1,1.613203298E-2
4.155243887E1,6.162661380E-2
4.160237388E1,1.450570590E-1
4.165232587E1,6.157357955E-2
4.170226287E1,-2.708400255E-3
4.175219287E1,4.958643297E-2
4.180216187E1,1.210361087E-1
4.185210987E1,9.385893555E-2
4.190205388E1,4.856451555E-2
4.195199487E1,5.203227520E-2
4.200193387E1,4.952657530E-2
4.205188988E1,9.894331614E-2
4.210182488E1,8.433404326E-2
4.215178187E1,4.894170573E-2
4.220172587E1,7.087821453E-2
4.225166888E1,6.473704838E-2
4.230161788E1,1.337848811E-2
4.235153087E1,1.122907526E-1
4.240147687E1,1.066428055E-1
4.245145288E1,8.736752758E-2
4.250137287E1,-5.780388738E-2
4.255134188E1,5.530827747E-2
4.260128688E1,8.979668480E-2
4.265122588E1,7.000697163E-2
4.270115887E1,6.319591740E-2
4.275110687E1,7.711192794E-2
4.280106988E1,4.645646480E-2
4.285100087E1,4.419309236E-2
4.290095087E1,8.392697199E-2
4.295090287E1,7.342054644E-2
4.300083288E1,6.230371040E-2
4.305079288E1,7.284829360E-2
4.310073788E1,9.278620811E-2
4.315066187E1,5.426625602E-2
4.320062987E1,4.686872297E-2
4.325057687E1,7.422629367E-2
4.330052088E1,1.098090673E-1
4.335046188E1,6.119995663E-2
4.340040688E1,6.067351262E-2
4.345034488E1,5.373573689E-2
4.350028588E1,5.413531362E-2
4.355024987E1,8.232497560E-2
4.360018887E1,-9.046770944E-3
4.365014088E1,5.891011115E-2
4.370007287E1,3.959397334E-2
4.375002887E1,6.957777595E-2
4.379997787E1,7.068165330E-2
4.384992188E1,8.492308263E-2
4.389986587E1,6.301278580E-2
4.394981387E1,5.191084098E-2
4.399975788E1,9.826351154E-2
4.404970087E1,6.122146342E-2
4.409962487E1,8.072825632E-2
4.414959188E1,5.616677481E-2
4.419951087E1,5.105487485E-2
4.424946387E1,5.842000027E-2
4.429942987E1,1.132056289E-1
4.434937288E1,5.417422918E-2
4.439932087E1,9.152776670E-2
4.444924888E1,1.980241624E-2
4.449920988E1,5.544763124E-2
4.454915788E1,6.420806951E-2
4.459910187E1,1.011657505E-1
4.464904687E1,6.548750882E-2
4.469897288E1,5.795826347E-2
4.474893787E1,3.976574878E-2
4.479873487E1,5.635597746E-2
4.484866688E1,6.943995799E-2
4.489863287E1,7.339138939E-2
4.494857587E1,4.735708699E-2
4.499852487E1,4.927948202E-2
